Taken by Alex and Dennis 2/20/15

AccelX, AccelY, AccelZ, Roll, Pitch, Heading
-1.373, -3.177, -9.493, -18.328, -172.191, 0.000
-3.020, -0.863, -8.355, -5.548, -160.222, 0.000
-2.707, -1.020, -8.198, -6.737, -161.860, 0.000
-3.413, -0.667, -8.473, -4.175, -158.123, 0.000
-3.805, -0.588, -8.198, -3.725, -155.159, 0.000
-4.668, -0.667, -7.963, -4.132, -149.708, 0.000
-5.688, -0.785, -7.571, -4.736, -143.229, 0.000
-6.198, -0.392, -6.276, -2.546, -135.416, 0.000
-6.355, -0.667, -6.512, -4.192, -135.848, 0.000
-6.472, -0.824, -7.375, -4.799, -138.904, 0.000
-6.394, -0.392, -6.747, -2.416, -136.587, 0.000
-6.629, -0.471, -6.865, -2.824, -136.066, 0.000
-6.315, -0.471, -6.708, -2.925, -136.795, 0.000
-7.178, -0.471, -7.100, -2.669, -134.748, 0.000
-6.590, 0.000, -6.159, 0.000, -133.061, 0.000
-7.767, 0.196, -6.159, 1.134, -128.426, 0.000
-6.982, -0.510, -5.845, -3.205, -130.039, 0.000
-7.375, 0.078, -5.374, 0.493, -126.085, 0.000
-8.198, -0.824, -4.354, -5.071, -118.392, 0.000
-8.748, 0.941, -4.668, 5.424, -118.563, 0.000
-8.238, 1.412, -2.942, 9.171, -111.611, 0.000
-8.551, 1.020, -4.354, 6.067, -117.608, 0.000
-8.355, -0.824, -3.177, -5.265, -111.448, 0.000
-8.159, -1.138, -4.511, -6.957, -119.692, 0.000
-8.081, -0.314, -4.433, -1.950, -118.807, 0.000
-5.217, -3.648, -7.257, -22.204, -147.286, 0.000
-2.079, -4.119, -7.845, -26.907, -166.796, 0.000
-2.785, -3.413, -10.827, -16.976, -166.215, 0.000
0.628, -3.844, -8.551, -24.148, 176.170, 0.000
1.334, -4.354, -8.983, -25.616, 172.390, 0.000
0.706, -3.530, -8.748, -21.914, 175.719, 0.000
0.902, -3.648, -8.355, -23.465, 174.348, 0.000
0.981, -3.962, -8.826, -24.044, 174.212, 0.000
0.981, -3.609, -8.473, -22.933, 173.922, 0.000
0.941, -3.766, -8.904, -22.810, 174.438, 0.000
0.902, -3.727, -7.767, -25.482, 174.021, 0.000
0.785, -3.923, -9.179, -23.064, 175.506, 0.000
0.549, -3.413, -8.983, -20.767, 176.729, 0.000
0.628, -3.530, -8.551, -22.379, 176.119, 0.000
1.020, -4.158, -9.179, -24.238, 174.221, 0.000
0.706, -3.609, -8.473, -22.999, 175.616, 0.000
1.059, -3.256, -8.708, -20.362, 173.501, 0.000
0.392, -3.138, -8.944, -19.318, 177.630, 0.000
-0.078, -3.727, -9.375, -21.677, -179.554, 0.000
